File,Dice
292.1.nii.gz,0.0006
293.1.nii.gz,0.0001
294.1.nii.gz,0.0002
295.1.nii.gz,0.0007
296.1.nii.gz,0.0
297.1.nii.gz,0.0003
298.1.nii.gz,0.0005
299.1.nii.gz,0.0001
30.1.nii.gz,0.0007
300.1.nii.gz,0.0004
301.1.nii.gz,0.0002
302.1.nii.gz,0.0003
303.1.nii.gz,0.0003
304.1.nii.gz,0.0002
305.1.nii.gz,0.0005
306.1.nii.gz,0.0006
307.1.nii.gz,0.0004
308.1.nii.gz,0.0005
309.1.nii.gz,0.0004
31.1.nii.gz,0.0009
310.1.nii.gz,0.0004
311.1.nii.gz,0.0013
312.1.nii.gz,0.0005
313.1.nii.gz,0.0005
314.1.nii.gz,0.0009
315.1.nii.gz,0.0007
316.1.nii.gz,0.0003
317.1.nii.gz,0.0009
318.1.nii.gz,0.0004
319.1.nii.gz,0.0003
32.1.nii.gz,0.0003
320.1.nii.gz,0.0006
321.1.nii.gz,0.0007
322.1.nii.gz,0.0005
323.1.nii.gz,0.0003
324.1.nii.gz,0.0002
325.1.nii.gz,0.0005
326.1.nii.gz,0.0005
327.1.nii.gz,0.0002
328.1.nii.gz,0.0001
329.1.nii.gz,0.001
33.1.nii.gz,0.0006
330.1.nii.gz,0.0005
331.1.nii.gz,0.0003
332.1.nii.gz,0.0003
333.1.nii.gz,0.0003
334.1.nii.gz,0.0004
335.1.nii.gz,0.0004
336.1.nii.gz,0.0012
337.1.nii.gz,0.0003
338.1.nii.gz,0.0007
339.1.nii.gz,0.0003
34.1.nii.gz,0.0006
340.1.nii.gz,0.0004
341.1.nii.gz,0.0007
342.1.nii.gz,0.0002
343.1.nii.gz,0.0005
344.1.nii.gz,0.0008
345.1.nii.gz,0.0003
346.1.nii.gz,0.0003
347.1.nii.gz,0.0007
348.1.nii.gz,0.0005
349.1.nii.gz,0.0012
35.1.nii.gz,0.0003
350.1.nii.gz,0.0006
351.1.nii.gz,0.0006
352.1.nii.gz,0.0004
353.1.nii.gz,0.0001
354.1.nii.gz,0.0011
355.1.nii.gz,0.0003
356.1.nii.gz,0.0006
357.1.nii.gz,0.0002
358.1.nii.gz,0.0008
359.1.nii.gz,0.0003
36.1.nii.gz,0.0008
360.1.nii.gz,0.0007
361.1.nii.gz,0.0006
362.1.nii.gz,0.0002
363.1.nii.gz,0.0006
364.1.nii.gz,0.0001
365.1.nii.gz,0.0005
366.1.nii.gz,0.0003
367.1.nii.gz,0.0002
368.1.nii.gz,0.0003
369.1.nii.gz,0.0014
37.1.nii.gz,0.0008
370.1.nii.gz,0.0001
371.1.nii.gz,0.001
372.1.nii.gz,0.0006
373.1.nii.gz,0.0004
374.1.nii.gz,0.0005
375.1.nii.gz,0.0004
376.1.nii.gz,0.0003
377.1.nii.gz,0.0004
378.1.nii.gz,0.0
379.1.nii.gz,0.0003
38.1.nii.gz,0.0009
380.1.nii.gz,0.001
381.1.nii.gz,0.0009
383.1.nii.gz,0.0001
384.1.nii.gz,0.0004
385.1.nii.gz,0.0003
386.1.nii.gz,0.0006
387.1.nii.gz,0.0005
388.1.nii.gz,0.0004
389.1.nii.gz,0.0004
39.1.nii.gz,0.0004
390.1.nii.gz,0.0003
391.1.nii.gz,0.0005
392.1.nii.gz,0.0006
393.1.nii.gz,0.0002
394.1.nii.gz,0.0003
395.1.nii.gz,0.0004
396.1.nii.gz,0.0003
397.1.nii.gz,0.0003
398.1.nii.gz,0.0005
399.1.nii.gz,0.0003
4.1.nii.gz,0.0007
40.1.nii.gz,0.0003
400.1.nii.gz,0.0003
401.1.nii.gz,0.0002
402.1.nii.gz,0.0002
403.1.nii.gz,0.0002
404.1.nii.gz,0.0004
405.1.nii.gz,0.0011
406.1.nii.gz,0.0001
407.1.nii.gz,0.0006
408.1.nii.gz,0.0005
409.1.nii.gz,0.0003
41.1.nii.gz,0.0006
410.1.nii.gz,0.0002
411.1.nii.gz,0.0003
412.1.nii.gz,0.0004
413.1.nii.gz,0.0003
414.1.nii.gz,0.0002
415.1.nii.gz,0.0001
416.1.nii.gz,0.0001
417.1.nii.gz,0.0007
418.1.nii.gz,0.0002
419.1.nii.gz,0.0011
42.1.nii.gz,0.0016
420.1.nii.gz,0.0001
421.1.nii.gz,0.0003
422.1.nii.gz,0.0004
423.1.nii.gz,0.0002
424.1.nii.gz,0.0002
425.1.nii.gz,0.0001
426.1.nii.gz,0.0002
427.1.nii.gz,0.0003
428.1.nii.gz,0.0005
429.1.nii.gz,0.0003
43.1.nii.gz,0.0016
430.1.nii.gz,0.0001
431.1.nii.gz,0.0002
432.1.nii.gz,0.0004
433.1.nii.gz,0.0005
434.1.nii.gz,0.0002
435.1.nii.gz,0.0003
436.1.nii.gz,0.0002
437.1.nii.gz,0.0002
44.1.nii.gz,0.0005
45.1.nii.gz,0.0016
46.1.nii.gz,0.0005
47.1.nii.gz,0.0013
48.1.nii.gz,0.001
49.1.nii.gz,0.0008
5.1.nii.gz,0.0006
50.1.nii.gz,0.001
51.1.nii.gz,0.0009
52.1.nii.gz,0.0004
53.1.nii.gz,0.0002
54.1.nii.gz,0.0008
55.1.nii.gz,0.0004
56.1.nii.gz,0.0006
57.1.nii.gz,0.0008
58.1.nii.gz,0.0009
59.1.nii.gz,0.0005
