Subset,Cases,Mean Dice,Median Dice,Mean HD95,Median HD95,Mean Sensitivity,Mean Precision
All cases,435,0.5342371845551777,0.6449864498644986,12.556713201984529,4.073863375370593,0.5507280554338353,0.6534060750804054
Dice > 0,373,0.623038003435663,0.6796875,8.6542055329617,3.08113883008419,0.6407935014967414,0.7444975386304887
Dice >= 0.10,360,0.6434055347784912,0.6853737935826273,8.05648453172539,2.914213562373095,0.6588428266350236,0.7589082146203271
Dice >= 0.20,351,0.655843615109408,0.6892138939670932,7.852995663123018,2.449489742783178,0.6709721783099453,0.7587298667607131
Dice >= 0.30,341,0.6674865427481176,0.6938325991189427,7.449114226927423,2.23606797749979,0.6807267178463197,0.7623719353804542
Dice >= 0.50,292,0.7107409311789258,0.728545277789269,6.430466338395868,2.23606797749979,0.7151412400837216,0.7789867782058643
Dice >= 0.70,165,0.7821392181513644,0.7780748663101604,4.2470268767102635,1.4142135623730951,0.7761820835425138,0.8195688561935516
Dice >= 0.80,53,0.8400453265195985,0.8342807170966331,2.8735862736905795,1.0,0.8627591789591558,0.8327555169918711
Dice >= 0.90,3,0.9092622541917615,0.9066059225512528,1.0,1.0,0.8885472245102913,0.9325289575289576
