Metric,Mean,Std
Dice_ET,0.8414015820655539,0.014024097725229752
Dice_TC,0.9017083072055205,0.011897956614130734
Dice_WT,0.9239995590152535,0.011701759589821753
Dice_Mean,0.8890364827621093,0.01221594442482286
HD95_ET,3.3540517605439453,0.5026028297300383
HD95_TC,3.7601980732397484,0.5691140906909925
HD95_WT,4.624089953402876,0.73611002204231
