File,Dice
293.1.nii.gz,0.5896
294.1.nii.gz,0.7055
295.1.nii.gz,0.6901
296.1.nii.gz,0.2917
297.1.nii.gz,0.7118
298.1.nii.gz,0.7704
299.1.nii.gz,0.7888
30.1.nii.gz,0.7877
300.1.nii.gz,0.8552
301.1.nii.gz,0.8455
302.1.nii.gz,0.8435
303.1.nii.gz,0.7584
304.1.nii.gz,0.3778
305.1.nii.gz,0.8104
306.1.nii.gz,0.773
307.1.nii.gz,0.798
308.1.nii.gz,0.7924
309.1.nii.gz,0.8157
31.1.nii.gz,0.7806
310.1.nii.gz,0.8763
311.1.nii.gz,0.7862
312.1.nii.gz,0.8561
313.1.nii.gz,0.7594
314.1.nii.gz,0.8592
315.1.nii.gz,0.6126
316.1.nii.gz,0.7311
317.1.nii.gz,0.6996
318.1.nii.gz,0.7017
319.1.nii.gz,0.711
32.1.nii.gz,0.7597
320.1.nii.gz,0.7245
321.1.nii.gz,0.0415
322.1.nii.gz,0.7259
323.1.nii.gz,0.6107
324.1.nii.gz,0.2852
325.1.nii.gz,0.2468
326.1.nii.gz,0.7607
327.1.nii.gz,0.5168
328.1.nii.gz,0.5
329.1.nii.gz,0.8788
33.1.nii.gz,0.7998
330.1.nii.gz,0.7879
331.1.nii.gz,0.7843
332.1.nii.gz,0.7989
333.1.nii.gz,0.814
334.1.nii.gz,0.7053
335.1.nii.gz,0.8273
336.1.nii.gz,0.7973
337.1.nii.gz,0.5302
338.1.nii.gz,0.508
339.1.nii.gz,0.7735
34.1.nii.gz,0.7869
340.1.nii.gz,0.7952
341.1.nii.gz,0.8824
342.1.nii.gz,0.6809
343.1.nii.gz,0.7861
344.1.nii.gz,0.6762
345.1.nii.gz,0.7513
346.1.nii.gz,0.5543
347.1.nii.gz,0.873
348.1.nii.gz,0.3912
349.1.nii.gz,0.6429
35.1.nii.gz,0.699
350.1.nii.gz,0.7804
351.1.nii.gz,0.7465
352.1.nii.gz,0.5761
353.1.nii.gz,0.5527
354.1.nii.gz,0.6792
355.1.nii.gz,0.7124
356.1.nii.gz,0.8572
357.1.nii.gz,0.536
358.1.nii.gz,0.8088
359.1.nii.gz,0.649
36.1.nii.gz,0.8042
360.1.nii.gz,0.8065
361.1.nii.gz,0.5643
362.1.nii.gz,0.0043
363.1.nii.gz,0.8939
364.1.nii.gz,0.6203
365.1.nii.gz,0.8166
366.1.nii.gz,0.8602
367.1.nii.gz,0.8029
368.1.nii.gz,0.7125
369.1.nii.gz,0.8658
37.1.nii.gz,0.8813
370.1.nii.gz,0.7801
371.1.nii.gz,0.8378
372.1.nii.gz,0.8574
373.1.nii.gz,0.7974
374.1.nii.gz,0.3415
375.1.nii.gz,0.8035
376.1.nii.gz,0.812
377.1.nii.gz,0.5689
378.1.nii.gz,0.7011
379.1.nii.gz,0.7442
38.1.nii.gz,0.8254
380.1.nii.gz,0.8551
381.1.nii.gz,0.8919
382.1.nii.gz,0.0015
383.1.nii.gz,0.6955
384.1.nii.gz,0.7716
385.1.nii.gz,0.4513
386.1.nii.gz,0.8239
387.1.nii.gz,0.6615
388.1.nii.gz,0.804
389.1.nii.gz,0.5086
39.1.nii.gz,0.8685
390.1.nii.gz,0.8415
391.1.nii.gz,0.8647
392.1.nii.gz,0.6544
393.1.nii.gz,0.7386
394.1.nii.gz,0.8111
395.1.nii.gz,0.6762
396.1.nii.gz,0.742
397.1.nii.gz,0.5308
398.1.nii.gz,0.6101
399.1.nii.gz,0.778
4.1.nii.gz,0.7
40.1.nii.gz,0.5083
400.1.nii.gz,0.8026
401.1.nii.gz,0.647
402.1.nii.gz,0.697
403.1.nii.gz,0.6211
404.1.nii.gz,0.8353
405.1.nii.gz,0.7943
406.1.nii.gz,0.5922
407.1.nii.gz,0.8365
408.1.nii.gz,0.7242
409.1.nii.gz,0.6961
41.1.nii.gz,0.83
410.1.nii.gz,0.666
411.1.nii.gz,0.7852
412.1.nii.gz,0.7411
413.1.nii.gz,0.717
414.1.nii.gz,0.7724
415.1.nii.gz,0.3211
416.1.nii.gz,0.8337
417.1.nii.gz,0.8536
418.1.nii.gz,0.8521
419.1.nii.gz,0.8426
42.1.nii.gz,0.0165
420.1.nii.gz,0.8544
421.1.nii.gz,0.8194
422.1.nii.gz,0.7924
423.1.nii.gz,0.6659
424.1.nii.gz,0.8361
425.1.nii.gz,0.3694
