File,Dice
268.1.nii.gz,0.9973
269.1.nii.gz,0.972
27.1.nii.gz,0.992
270.1.nii.gz,0.9931
271.1.nii.gz,0.9865
272.1.nii.gz,0.9681
273.1.nii.gz,0.9914
274.1.nii.gz,0.9963
275.1.nii.gz,0.9833
276.1.nii.gz,0.9904
277.1.nii.gz,0.9942
278.1.nii.gz,0.9806
279.1.nii.gz,0.9895
28.1.nii.gz,0.9931
281.1.nii.gz,0.9875
282.1.nii.gz,0.9901
283.1.nii.gz,0.9935
284.1.nii.gz,0.8549
285.1.nii.gz,0.9918
286.1.nii.gz,0.9988
287.1.nii.gz,0.9698
288.1.nii.gz,0.9929
289.1.nii.gz,0.9881
29.1.nii.gz,0.9814
290.1.nii.gz,0.9978
291.1.nii.gz,0.9917
292.1.nii.gz,0.9912
293.1.nii.gz,0.9973
294.1.nii.gz,0.9948
295.1.nii.gz,0.9928
296.1.nii.gz,0.9994
297.1.nii.gz,0.9963
298.1.nii.gz,0.993
299.1.nii.gz,0.9982
30.1.nii.gz,0.9866
300.1.nii.gz,0.9935
301.1.nii.gz,0.9968
302.1.nii.gz,0.2275
303.1.nii.gz,0.917
304.1.nii.gz,0.503
305.1.nii.gz,0.9242
306.1.nii.gz,0.2597
307.1.nii.gz,0.985
308.1.nii.gz,0.9651
309.1.nii.gz,0.9453
31.1.nii.gz,0.9849
310.1.nii.gz,0.9928
311.1.nii.gz,0.8631
312.1.nii.gz,0.9891
313.1.nii.gz,0.9772
314.1.nii.gz,0.9837
315.1.nii.gz,0.9913
316.1.nii.gz,0.4604
317.1.nii.gz,0.9791
318.1.nii.gz,0.993
319.1.nii.gz,0.9956
32.1.nii.gz,0.9876
320.1.nii.gz,0.994
321.1.nii.gz,0.9907
322.1.nii.gz,0.9907
323.1.nii.gz,0.9943
324.1.nii.gz,0.9949
325.1.nii.gz,0.8393
326.1.nii.gz,0.9899
327.1.nii.gz,0.8
328.1.nii.gz,0.9933
329.1.nii.gz,0.9853
33.1.nii.gz,0.9921
330.1.nii.gz,0.9874
331.1.nii.gz,0.9924
332.1.nii.gz,0.9684
333.1.nii.gz,0.9918
334.1.nii.gz,0.9953
335.1.nii.gz,0.9923
336.1.nii.gz,0.986
337.1.nii.gz,0.9966
338.1.nii.gz,0.9919
339.1.nii.gz,0.95
34.1.nii.gz,0.9892
340.1.nii.gz,0.9815
341.1.nii.gz,0.9817
342.1.nii.gz,0.9961
343.1.nii.gz,0.9948
344.1.nii.gz,0.9821
345.1.nii.gz,0.9812
346.1.nii.gz,0.9927
347.1.nii.gz,0.9865
348.1.nii.gz,0.9925
349.1.nii.gz,0.9848
35.1.nii.gz,0.9937
350.1.nii.gz,0.9938
351.1.nii.gz,0.9866
352.1.nii.gz,0.9933
353.1.nii.gz,0.9764
354.1.nii.gz,0.9835
355.1.nii.gz,0.993
356.1.nii.gz,0.9846
357.1.nii.gz,0.9954
358.1.nii.gz,0.9853
359.1.nii.gz,0.9956
36.1.nii.gz,0.9802
360.1.nii.gz,0.9896
361.1.nii.gz,0.9932
362.1.nii.gz,0.229
363.1.nii.gz,0.9848
364.1.nii.gz,0.9986
365.1.nii.gz,0.9936
366.1.nii.gz,0.9893
367.1.nii.gz,0.995
368.1.nii.gz,0.9933
369.1.nii.gz,0.9708
37.1.nii.gz,0.9893
370.1.nii.gz,0.9969
371.1.nii.gz,0.9773
372.1.nii.gz,0.98
373.1.nii.gz,0.995
374.1.nii.gz,0.9361
375.1.nii.gz,0.9896
376.1.nii.gz,0.9929
377.1.nii.gz,0.986
378.1.nii.gz,0.9976
379.1.nii.gz,0.9924
38.1.nii.gz,0.9859
380.1.nii.gz,0.985
381.1.nii.gz,0.9677
382.1.nii.gz,0.9946
383.1.nii.gz,0.9984
384.1.nii.gz,0.9946
385.1.nii.gz,0.9854
386.1.nii.gz,0.9753
387.1.nii.gz,0.9928
388.1.nii.gz,0.985
389.1.nii.gz,0.9949
39.1.nii.gz,0.99
390.1.nii.gz,0.9905
391.1.nii.gz,0.9899
392.1.nii.gz,0.9781
393.1.nii.gz,0.9964
394.1.nii.gz,0.9927
395.1.nii.gz,0.994
396.1.nii.gz,0.995
397.1.nii.gz,0.9942
398.1.nii.gz,0.9835
399.1.nii.gz,0.9953
4.1.nii.gz,0.9889
40.1.nii.gz,0.9955
400.1.nii.gz,0.9929
401.1.nii.gz,0.9939
402.1.nii.gz,0.993
403.1.nii.gz,0.9974
404.1.nii.gz,0.986
405.1.nii.gz,0.9829
406.1.nii.gz,0.9988
407.1.nii.gz,0.9905
408.1.nii.gz,0.9862
409.1.nii.gz,0.992
41.1.nii.gz,0.9821
410.1.nii.gz,0.9962
411.1.nii.gz,0.991
412.1.nii.gz,0.9938
413.1.nii.gz,0.9923
414.1.nii.gz,0.997
415.1.nii.gz,0.9983
416.1.nii.gz,0.99
417.1.nii.gz,0.9896
418.1.nii.gz,0.9909
419.1.nii.gz,0.9812
42.1.nii.gz,0.2846
420.1.nii.gz,0.9924
421.1.nii.gz,0.9954
422.1.nii.gz,0.9949
