File,Dice
299.1.nii.gz,0.0004
30.1.nii.gz,0.0001
300.1.nii.gz,0.0018
301.1.nii.gz,0.0
302.1.nii.gz,0.0004
303.1.nii.gz,0.0001
304.1.nii.gz,0.0022
305.1.nii.gz,0.0008
306.1.nii.gz,0.0001
307.1.nii.gz,0.0002
308.1.nii.gz,0.0
309.1.nii.gz,0.0004
31.1.nii.gz,0.0003
310.1.nii.gz,0.0017
311.1.nii.gz,0.0056
312.1.nii.gz,0.0002
313.1.nii.gz,0.0
314.1.nii.gz,0.0
315.1.nii.gz,0.0
316.1.nii.gz,0.0001
317.1.nii.gz,0.0046
318.1.nii.gz,0.0001
319.1.nii.gz,0.0004
32.1.nii.gz,0.0
320.1.nii.gz,0.0
321.1.nii.gz,0.0001
322.1.nii.gz,0.0015
323.1.nii.gz,0.0
324.1.nii.gz,0.0
325.1.nii.gz,0.0004
326.1.nii.gz,0.0
327.1.nii.gz,0.0
328.1.nii.gz,0.0
329.1.nii.gz,0.0001
33.1.nii.gz,0.0015
330.1.nii.gz,0.0
331.1.nii.gz,0.0004
332.1.nii.gz,0.0
333.1.nii.gz,0.0002
334.1.nii.gz,0.0
335.1.nii.gz,0.0
336.1.nii.gz,0.0026
337.1.nii.gz,0.0012
338.1.nii.gz,0.0
339.1.nii.gz,0.0
34.1.nii.gz,0.0003
340.1.nii.gz,0.0013
341.1.nii.gz,0.0
342.1.nii.gz,0.0
343.1.nii.gz,0.0
344.1.nii.gz,0.0013
345.1.nii.gz,0.0
346.1.nii.gz,0.0007
347.1.nii.gz,0.0
348.1.nii.gz,0.0
349.1.nii.gz,0.0
35.1.nii.gz,0.0
350.1.nii.gz,0.0
351.1.nii.gz,0.0
352.1.nii.gz,0.0001
353.1.nii.gz,0.0
354.1.nii.gz,0.0
355.1.nii.gz,0.0
356.1.nii.gz,0.0
357.1.nii.gz,0.0
358.1.nii.gz,0.0
359.1.nii.gz,0.0036
36.1.nii.gz,0.0001
360.1.nii.gz,0.0011
361.1.nii.gz,0.0002
362.1.nii.gz,0.0017
363.1.nii.gz,0.0002
364.1.nii.gz,0.0
365.1.nii.gz,0.0005
366.1.nii.gz,0.0002
367.1.nii.gz,0.0012
368.1.nii.gz,0.0
369.1.nii.gz,0.0009
37.1.nii.gz,0.0003
370.1.nii.gz,0.0001
371.1.nii.gz,0.0001
372.1.nii.gz,0.0001
373.1.nii.gz,0.0
374.1.nii.gz,0.0002
375.1.nii.gz,0.0022
376.1.nii.gz,0.0
377.1.nii.gz,0.0002
378.1.nii.gz,0.0004
379.1.nii.gz,0.0001
38.1.nii.gz,0.0008
380.1.nii.gz,0.0027
381.1.nii.gz,0.0001
382.1.nii.gz,0.0
383.1.nii.gz,0.0007
384.1.nii.gz,0.0015
385.1.nii.gz,0.0
386.1.nii.gz,0.0024
387.1.nii.gz,0.0002
388.1.nii.gz,0.0039
389.1.nii.gz,0.0
39.1.nii.gz,0.0
390.1.nii.gz,0.0003
391.1.nii.gz,0.0
392.1.nii.gz,0.0
393.1.nii.gz,0.0
394.1.nii.gz,0.0
395.1.nii.gz,0.0001
396.1.nii.gz,0.0
397.1.nii.gz,0.0002
398.1.nii.gz,0.0021
399.1.nii.gz,0.0
4.1.nii.gz,0.0
40.1.nii.gz,0.0
400.1.nii.gz,0.0001
401.1.nii.gz,0.0
402.1.nii.gz,0.0002
403.1.nii.gz,0.0
404.1.nii.gz,0.0
405.1.nii.gz,0.0034
406.1.nii.gz,0.0
407.1.nii.gz,0.0001
408.1.nii.gz,0.0
409.1.nii.gz,0.0
41.1.nii.gz,0.0003
410.1.nii.gz,0.0
411.1.nii.gz,0.0001
412.1.nii.gz,0.0
413.1.nii.gz,0.0
414.1.nii.gz,0.0
415.1.nii.gz,0.0002
416.1.nii.gz,0.0
417.1.nii.gz,0.0
418.1.nii.gz,0.0016
419.1.nii.gz,0.0009
42.1.nii.gz,0.0051
420.1.nii.gz,0.0
421.1.nii.gz,0.0002
422.1.nii.gz,0.0007
423.1.nii.gz,0.0006
424.1.nii.gz,0.0005
425.1.nii.gz,0.0001
426.1.nii.gz,0.0003
427.1.nii.gz,0.0004
428.1.nii.gz,0.0021
429.1.nii.gz,0.0
43.1.nii.gz,0.0
430.1.nii.gz,0.0
431.1.nii.gz,0.0
432.1.nii.gz,0.0018
433.1.nii.gz,0.0
434.1.nii.gz,0.0
435.1.nii.gz,0.0
436.1.nii.gz,0.0
437.1.nii.gz,0.0005
44.1.nii.gz,0.0002
45.1.nii.gz,0.0005
46.1.nii.gz,0.0002
47.1.nii.gz,0.0003
48.1.nii.gz,0.0002
49.1.nii.gz,0.0005
5.1.nii.gz,0.0
50.1.nii.gz,0.0
51.1.nii.gz,0.0003
52.1.nii.gz,0.0
53.1.nii.gz,0.0
54.1.nii.gz,0.0001
55.1.nii.gz,0.0
56.1.nii.gz,0.0005
57.1.nii.gz,0.0002
58.1.nii.gz,0.0044
59.1.nii.gz,0.0015
6.1.nii.gz,0.0
60.1.nii.gz,0.0001
61.1.nii.gz,0.0004
62.1.nii.gz,0.0
63.1.nii.gz,0.0
64.1.nii.gz,0.0
65.1.nii.gz,0.0
66.1.nii.gz,0.0004
67.1.nii.gz,0.0036
68.1.nii.gz,0.0002
69.1.nii.gz,0.0012
7.1.nii.gz,0.0001
70.1.nii.gz,0.0
71.1.nii.gz,0.0002
72.1.nii.gz,0.0038
73.1.nii.gz,0.0
74.1.nii.gz,0.0004
75.1.nii.gz,0.0007
76.1.nii.gz,0.0003
77.1.nii.gz,0.0
78.1.nii.gz,0.0001
79.1.nii.gz,0.0001
8.1.nii.gz,0.0
80.1.nii.gz,0.0005
81.1.nii.gz,0.0003
82.1.nii.gz,0.0053
83.1.nii.gz,0.0
84.1.nii.gz,0.0004
85.1.nii.gz,0.0
86.1.nii.gz,0.0
87.1.nii.gz,0.0
88.1.nii.gz,0.0001
89.1.nii.gz,0.0001
9.1.nii.gz,0.0001
90.1.nii.gz,0.0001
91.1.nii.gz,0.0005
92.1.nii.gz,0.0011
93.1.nii.gz,0.0044
94.1.nii.gz,0.0
95.1.nii.gz,0.0
96.1.nii.gz,0.0
97.1.nii.gz,0.0028
98.1.nii.gz,0.0014
99.1.nii.gz,0.0
