setup,fixed_dice,validation_selected_dice,delta_fixed_minus_selected
baseline_brats,0.6948255256580423,0.6967707880455208,-0.0019452623874784969
upenn_v3_best,0.8156183719441974,0.8069918701752653,0.008626501768932093
upenn_v3_last,0.8060445032402808,0.8055651306572178,0.0004793725830629647
ensemble_top5,0.8130803134807849,0.8095301623035623,0.0035501511772225713
upenn_v4_best,0.8070971692208592,0.8047653780739068,0.0023317911469523667
ensemble_v3_v4,0.8203615115364652,0.8128182938747424,0.007543217661722834
