et_tc_threshold,wt_threshold,val_dice_ET,val_dice_TC,val_dice_WT,val_dice_mean
0.0002,0.2,0.39364056507142225,0.37849117739489735,0.5901190705587435,0.45408360434168776
0.0005,0.2,0.4770857646705854,0.44868092570006335,0.5901190705587435,0.5052952536431308
0.001,0.2,0.5275035775779072,0.5064686659597125,0.5901190705587435,0.5413637713654543
0.002,0.2,0.563855776667974,0.553345216690106,0.5901190705587435,0.5691066879722745
0.005,0.2,0.5953297268620605,0.5975167979869822,0.5901190705587435,0.5943218651359287
0.01,0.2,0.6128188284577839,0.6217085180038915,0.5901190705587435,0.6082154723401395
0.02,0.2,0.6274344407587927,0.641075059941586,0.5901190705587435,0.619542857086374
0.05,0.2,0.6459987731688048,0.6659112854117246,0.5901190705587435,0.6340097097130909
0.1,0.2,0.664022436616236,0.6923691226326973,0.5901190705587435,0.6488368766025588
0.2,0.2,0.714575910315198,0.7715641927247417,0.5901190705587435,0.6920863911995611
0.3,0.2,0.7625142683685129,0.8416630456370704,0.5901190705587435,0.7314321281881089
0.4,0.2,0.7821343695004765,0.8681516894961311,0.5901190705587435,0.7468017098517836
0.5,0.2,0.7949113640640549,0.8841580258329198,0.5901190705587435,0.7563961534852394
0.6,0.2,0.8015667831336665,0.8940860166875692,0.5901190705587435,0.7619239567933264
0.7,0.2,0.8062214059212828,0.9027323751177837,0.5901190705587435,0.76635761719927
0.8,0.2,0.8103899952122298,0.9074882122262673,0.5901190705587435,0.7693324259990802
0.9,0.2,0.7968415002475807,0.8934173972771148,0.5901190705587435,0.7601259893611463
